230027994633462, 224850233272831, 164872865225455 @ 103, -57, 285
213762157019377, 204038908928791, 198113097692531 @ 184, -110, 174
236440979253526, 104012423941037, 223798957622735 @ 15, 694, -277
150273374343556, 50901286038655, 131546537769893 @ 272, 413, 324
218468515688398, 199700421155153, 351097822373397 @ 123, 113, -104
338621759011922, 241627500098406, 284905984709165 @ -217, -83, -76
201589965927467, 279704038327366, 196206631637120 @ 190, -213, 185
364600907847245, 443329607619619, 466958764329116 @ -32, -66, -79
235508132991422, 298506086473913, 413412591314453 @ 94, 43, -70
335439655104640, 287678332331229, 259037521410669 @ -123, -92, 52
127080465083842, 91287599329741, 61446566878670 @ 335, 332, 491
184418203088091, 238465435208692, 207167094388365 @ 256, -117, 148
416343629775116, 253022765045891, 491717629266329 @ -92, 115, -118
481449962915902, 299668862140153, 547428270008293 @ -156, 69, -171
353659351929670, 307378415986126, 458883909389384 @ -37, 45, -105
345124099531431, 208340262699411, 232237319323881 @ -184, 50, 96
202300175388116, 12655440829711, 313967152251771 @ 212, 705, -275
316973823196462, 310028917628689, 359270794507349 @ -41, -51, -80
273480679077424, 181142079537670, 196085590194980 @ -147, -47, 183
265521512671375, 151640201406799, 273771107951019 @ -78, 138, -218
271285717225275, 283711136190258, 305929300939687 @ 26, -37, -14
175551166933357, 31306715871346, 277735095312815 @ 176, 379, 74
273666334571593, 422558547907705, 443492149303658 @ 50, -96, -99
229387426042768, 169123293575863, 264612930601025 @ 102, 181, 78
179539247670742, 302106667444141, 142579620797445 @ 213, -135, 304
313951911510967, 251555559461716, 256970350655570 @ -138, -103, 11
406438277711560, 365452366481665, 303153811346747 @ -99, -24, 66
175487869090582, 332758416807097, 262178100537797 @ 159, 24, 116
310857408788602, 297796477288243, 210531244259195 @ -31, -31, 163
290914838024874, 249881426224863, 303478502955052 @ 7, 58, 21
315153759144108, 323822771889631, 317484883061809 @ -19, -30, 16
314531736895682, 304288250087625, 405806411638705 @ 14, 64, -27
359828517222499, 160673816668009, 329170273114796 @ -44, 208, 39
255034684146830, 152507643183922, 117096373014354 @ -29, 129, 609
240328800947362, 177152930485741, 173839173482525 @ 77, 130, 240
273825352380936, 138607753598081, 279984054680611 @ -28, 220, -65
213205983759112, 258423997273651, 351867124633705 @ 129, 30, -72
245195306496019, 481091129117122, 407197424551190 @ 56, -839, -467
154285975864047, 248757027714604, 345592152643047 @ 184, 111, 22
488085922423580, 495215392032367, 260502996061357 @ -200, -183, 112
257029813969903, 37373163859165, 313395965565740 @ 26, 508, -147
230453727878930, 306197584387773, 337303048171909 @ 100, 29, 16
329630073824428, 392403119779285, 320159344551311 @ -12, -54, 47
304859069662267, 346759281854758, 396344664342960 @ 24, 21, -17
283615259850910, 176077346765753, 282824877123573 @ -42, 121, -48
264643697109766, 397536034297309, 330929300678258 @ -5, -588, -235
266011575273610, 360696689080581, 225549285492625 @ 36, -175, 133
276302661941806, 344515870053721, 332797867109285 @ 27, -100, -32
326007133498669, 262754120817097, 259969586987480 @ -40, 48, 93
255959563334032, 388577753395537, 317216656651667 @ 29, -488, -158
239430563125187, 358004224071011, 182824431038620 @ 76, -398, 223
262478724774643, 201828772642917, 229303327495039 @ -42, -76, 34
236662654787686, 343798503126673, 358183162597277 @ 88, -193, -145
272796129537928, 506323927552474, 395890365744344 @ 45, -247, -73
277996237072567, 263751976057756, 314960482794235 @ -36, -141, -158
209060297591344, 397718102372343, 386150519651013 @ 126, -83, -44
224729179946206, 239992006097185, 335246207462327 @ 115, -24, -154
320806761721630, 350129757817168, 190254124594029 @ -45, -111, 196
300383251736227, 314697575293711, 230151124509260 @ 6, -6, 141
298799168709265, 323028208516999, 528028497088307 @ -84, -278, -714
264849550365178, 273365322324321, 240409847851501 @ -60, -430, -26
211062150584181, 52373975127725, 144934489260904 @ 220, 716, 489
295419252680462, 311297839567761, 43898700236365 @ 35, 61, 339
250363519229090, 214880583149241, 316368318115341 @ 53, 40, -104
268132731730239, 90221494545328, 304578508795582 @ 38, 309, 7
254622077432554, 174402670929509, 355332297100035 @ 21, 98, -347
280473885806842, 315439639491991, 204057564976545 @ -57, -342, 160
240136614510064, 452723099922549, 305446649733141 @ 90, -86, 76
237672829959342, 156081505063166, 213208394929895 @ 67, 119, 98
332664810743172, 361669914191796, 404581421906855 @ -55, -109, -130
276074637821906, 414382905781511, 269440279576457 @ -35, -605, -34
290356114063054, 255844093656841, 208034612661749 @ -44, -60, 157
233250296756043, 196219253340810, 188599633119778 @ 88, -119, 225
273573707309188, 252111546835477, 326561726006651 @ 42, 78, 11
366660156271742, 311219459221641, 181779462584645 @ -52, 40, 203
192771897012462, 356765993503501, 179412123771505 @ 155, -87, 211
246089656339000, 189736829986477, 263165370636619 @ 36, -6, -101
331706243127232, 320892065496394, 412514267667047 @ -11, 33, -50
256886052035982, 311151797027721, 311736537912597 @ 59, -40, 6
292283147915314, 285340455714613, 146240267727419 @ 33, 74, 241
316864302124125, 344426610944628, 388514316012692 @ 10, 19, -13
245162026648332, 151686836111271, 221026775396945 @ -14, 79, -22
190653386950192, 318788912048851, 256438229364079 @ 174, -105, 75
334445194831732, 174483874959021, 217334729450900 @ -27, 188, 161
222578364011099, 265728919700523, 166123223520646 @ 128, -206, 285
252356893967347, 237617659393063, 252298277764517 @ 34, -86, 12
219705604665928, 262074818367097, 290169358828841 @ 168, -536, -378
185526123108625, 275704760226523, 232037153688488 @ 232, -178, 81
271835657199025, 225548947956805, 259523803670240 @ -24, -44, -7
334204299629902, 382142978011435, 143122292633819 @ -61, -149, 269
393118185137200, 478470779332545, 362787847275700 @ -99, -184, -17
436755514203224, 187597352235695, 548569354764229 @ -115, 182, -180
388991600755302, 462593804229041, 293924943559869 @ -56, -85, 91
