--- scanner 0 ---
328,-702,-460
-786,-700,353
416,571,609
487,-724,-505
593,-619,491
-526,474,399
247,-727,-523
-750,-624,-790
796,689,-767
766,688,-823
741,764,-835
-916,713,-783
-742,-762,-708
629,-657,378
-540,521,304
568,-599,459
441,481,636
-457,540,428
-910,550,-662
-784,-650,-694
-874,-840,421
-3,-12,-71
-800,-738,421
-844,654,-686
477,598,648

--- scanner 1 ---
135,1,-54
895,551,601
-393,818,-781
-278,809,-841
-409,-507,427
699,705,-637
732,522,-710
-331,753,-812
-510,-596,-424
593,-279,757
785,-655,-330
766,-738,-454
-1,124,94
863,511,718
-579,-621,-358
832,-669,-425
756,-285,636
-487,-483,539
-582,513,809
677,658,-649
652,-351,660
-684,-548,-420
-693,573,775
-573,-397,416
871,666,635
-521,573,821

--- scanner 2 ---
420,706,-547
-463,-451,382
592,-360,835
565,-579,836
542,709,759
-555,-446,456
-763,656,-604
-385,-534,419
-695,716,-551
-769,-416,-710
99,56,-37
-742,412,442
629,813,693
-613,-475,-640
424,690,-512
-62,-58,56
-594,433,458
-737,597,-642
-567,444,499
-664,-447,-778
736,683,716
865,-748,-836
897,-799,-819
845,-863,-748
591,-483,766
381,557,-439

--- scanner 3 ---
345,459,753
-613,621,-540
464,478,691
601,-692,717
-642,-779,-665
470,-697,-820
570,261,-770
77,-114,37
726,-736,687
-507,-674,539
553,-821,-736
-611,426,665
-463,-783,-641
-618,569,-574
-558,-811,-732
-682,599,-515
-319,-627,490
-55,-17,-58
444,-739,-785
382,288,-702
-384,-726,460
356,615,698
-397,459,628
654,-596,605
-621,396,618
452,311,-673

--- scanner 4 ---
332,-333,-452
-487,-800,717
-592,843,876
595,-810,841
304,556,-441
460,797,974
-64,-30,10
638,698,966
-611,-702,-364
-607,-805,-360
-652,661,872
-616,944,-495
-504,696,939
440,-482,-470
582,920,947
628,-709,865
-574,-801,582
451,-794,849
90,52,114
-655,-814,-359
330,538,-496
-540,-833,787
-738,887,-501
327,-359,-454
436,610,-517
-547,857,-467

